date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:16	219/219	------	200	untouched ('OK')	text/plain	etag:W/%2263f6c9db-154%22	https://www.classcentral.com/robots.txt		(from )
17:21:16	664785/664785	------	200	untouched ('OK')	text/html	date:Sat,%2025%20Feb%202023%2014:14:51%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/class2/www.classcentral.com/index.html	(from )
17:21:17	9463/9463	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/class2/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
17:21:18	2206/2206	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/class2/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
17:21:18	975/975	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/class2/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
17:21:19	731/731	URF---	200	untouched ('OK%20(cached)')	image/png		https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/class2/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
17:21:19	193/193	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2025%20Feb%202023%2014:21:18%20GMT	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/class2/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
17:21:19	673/673	------	200	untouched ('')	application/octet-stream	etag:%2263f6ca2c-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/class2/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
17:21:19	166/166	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2025%20Feb%202023%2014:21:19%20GMT	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/class2/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
17:21:20	892/892	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/class2/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
