HTTrack3.49-2+htsswf+htsjava launched on Sat, 25 Feb 2023 17:32:28 at https://www.classcentral.com/ +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.zip +*.tar +*.tgz +*.gz +*.rar +*.z +*.exe +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv
(winhttrack -qwr2%e0C2%Pns2u1%s%uN0%I0p3DaK0H0%kf2A100000%c2%f0#f -F msie6 -%F  -%l "en, *" https://www.classcentral.com/ -O1 "C:\My Web Sites\class2" +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.zip +*.tar +*.tgz +*.gz +*.rar +*.z +*.exe +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

17:32:54	Warning: 	HTML file (170174 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/
17:32:58	Warning: 	HTML file (198813 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/most-popular-online-courses/
17:33:00	Warning: 	HTML file (145594 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/best-free-online-courses-2022/
17:33:01	Warning: 	HTML file (153685 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/best-free-online-courses-2021/
17:33:01	Warning: 	HTML file (176970 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/most-popular-courses-2022/
17:33:01	Warning: 	HTML file (178825 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/100-most-popular-online-courses-2021/
17:33:11	Warning: 	HTML file (518752 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/coursera-free-online-courses/
17:33:13	Warning: 	HTML file (418992 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/free-certificates/
17:33:15	Warning: 	HTML file (194133 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/free-google-certifications/
17:35:01	Warning: 	HTML file (192895 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/2022-year-in-review/
17:35:02	Warning: 	HTML file (144035 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/author/dhawal/
17:35:04	Warning: 	HTML file (138366 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/review-science-of-well-being/
17:35:04	Warning: 	HTML file (189717 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/best-resume-writing-courses/
17:35:05	Warning: 	HTML file (162371 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/best-ocaml-courses/
17:35:06	Warning: 	HTML file (138551 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/review-exploratory-data-analysis-matlab/
17:35:19	Warning: 	HTML file (140940 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/category/best-courses/
17:35:19	Warning: 	HTML file (153254 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/online-learning-deals/
17:35:56	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/cs (from https://www.classcentral.com/)
